Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	25.76	2.58E+05			
2	0.107	25.838	2.41E+05			
3	0.115	25.919	2.25E+05			
4	0.123	26.003	2.11E+05			
5	0.132	26.092	1.97E+05			
6	0.142	26.183	1.85E+05			
7	0.152	26.279	1.73E+05			
8	0.163	26.379	1.62E+05			
9	0.175	26.484	1.52E+05			
10	0.187	26.593	1.42E+05			
11	0.201	26.706	1.33E+05			
12	0.215	26.825	1.25E+05			
13	0.231	26.949	1.17E+05			
14	0.248	27.078	1.09E+05			
15	0.266	27.212	1.02E+05			
16	0.285	27.353	96040			
17	0.305	27.499	90047			
18	0.327	27.652	84445			
19	0.351	27.811	79207			
20	0.376	27.977	74311			
21	0.404	28.151	69732			
22	0.433	28.332	65451			
23	0.464	28.521	61446			
24	0.498	28.718	57701			
25	0.534	28.923	54197			
26	0.572	29.138	50919			
27	0.614	29.361	47852			
28	0.658	29.595	44981			
29	0.705	29.838	42295			
30	0.756	30.092	39780			
31	0.811	30.357	37425			
32	0.87	30.633	35221			
33	0.933	30.922	33156			
34	1	31.223	31223			
35	1.07	31.536	29411			
36	1.15	31.864	27713			
37	1.23	32.205	26123			
38	1.32	32.562	24632			
39	1.42	32.933	23234			
40	1.52	33.321	21923			
41	1.63	33.726	20694			
42	1.75	34.148	19541			
43	1.87	34.588	18459			
44	2.01	35.047	17443			
45	2.15	35.527	16490			
46	2.31	36.026	15595			
47	2.48	36.548	14754			
48	2.66	37.092	13965			
49	2.85	37.66	13223			
50	3.05	38.252	12526			
51	3.27	38.87	11870			
52	3.51	39.514	11254			
53	3.76	40.186	10674			
54	4.04	40.888	10128			
55	4.33	41.62	9614.7			
56	4.64	42.383	9131.2			
57	4.98	43.179	8675.8			
58	5.34	44.01	8246.7			
59	5.72	44.877	7842.4			
60	6.14	45.781	7461.2			
61	6.58	46.725	7101.7			
62	7.05	47.709	6762.6			
63	7.56	48.736	6442.6			
64	8.11	49.807	6140.4			
65	8.7	50.924	5855			
66	9.33	52.09	5585.4			
67	10	53.306	5330.6			
68	10.7	54.575	5089.7			
69	11.5	55.898	4861.8			
70	12.3	57.279	4646.1			
71	13.2	58.72	4441.9			
72	14.2	60.223	4248.6			
73	15.2	61.79	4065.4			
74	16.3	63.426	3891.8			
75	17.5	65.132	3727.1			
76	18.7	66.913	3570.9			
77	20.1	68.77	3422.7			
78	21.5	70.707	3281.9			
79	23.1	72.728	3148.2			
80	24.8	74.837	3021.2			
81	26.6	77.037	2900.4			
82	28.5	79.332	2785.5			
83	30.5	81.726	2676.1			
84	32.7	84.223	2572.1			
85	35.1	86.829	2472.9			
86	37.6	89.547	2378.5			
87	40.4	92.383	2288.4			
88	43.3	95.342	2202.5			
89	46.4	98.428	2120.6			
90	49.8	101.65	2042.3			
91	53.4	105.01	1967.6			
92	57.2	108.51	1896.3			
93	61.4	112.17	1828.1			
94	65.8	115.98	1762.8			
95	70.5	119.96	1700.4			
96	75.6	124.11	1640.7			
97	81.1	128.44	1583.5			
98	87	132.96	1528.7			
99	93.3	137.67	1476.2			
100	100	142.59	1425.9			
