Point No.	Angular Frequency	Storage Modulus	Loss Modulus	Loss Factor	Shear Strain	Complex Viscosity	Torque	Status
								
	[rad/s]	[Pa]	[Pa]	[1]	[%]	[Pa·s]	[mN·m]	
1	1	14.802	3.7398	0.253	0.101	15.267	0.0014023	WMa,TruStrain™
2	1	14.887	3.7226	0.25	0.163	15.346	0.0022886	WMa,TruStrain™
3	1	14.891	3.6984	0.248	0.265	15.344	0.0037157	WMa,TruStrain™
4	1	14.907	3.7047	0.249	0.43	15.361	0.0060402	WMa,TruStrain™
5	1	14.819	3.7017	0.25	0.699	15.275	0.0097529	WMa,TruStrain™
6	1	14.567	3.7472	0.257	1.13	15.041	0.015595	WMa,TruStrain™
7	1	13.997	3.8924	0.278	1.84	14.528	0.024458	WMa,TruStrain™
8	1	13.063	4.1428	0.317	2.99	13.705	0.037463	WMa,TruStrain™
9	1	12.058	4.4599	0.37	4.86	12.857	0.057068	WMa,TruStrain™
10	1	11.753	5.2212	0.444	7.89	12.861	0.092698	WMa,TruStrain™
11	1	13.957	7.951	0.57	12.8	16.063	0.18799	WMa,TruStrain™
12	1	21.95	17.64	0.804	20.8	28.16	0.53515	WMa,TruStrain™
13	1	25.051	30.937	1.235	33.8	39.807	1.2284	WMa,TruStrain™
14	1	18.971	36.096	1.903	54.8	40.777	2.0432	WMa,TruStrain™
15	1	10.957	31.391	2.865	89	33.248	2.7052	WMa,TruStrain™
16	1	5.7004	24.022	4.214	145	24.689	3.2618	WMa,TruStrain™
17	1	2.8611	17.663	6.173	235	17.893	3.8385	WMa,TruStrain™
18	1	1.3923	12.865	9.241	381	12.94	4.5076	WMa,TruStrain™
19	1	0.65916	9.4573	14.348	619	9.4803	5.3623	WMa,TruStrain™
20	1	0.30944	7.0465	22.772	1.01E+03	7.0533	6.4782	WMa,TruStrain™
