Point No.	Angular Frequency	Storage Modulus	Loss Modulus	Loss Factor	Shear Strain	Complex Viscosity	Torque	Status
								
	[rad/s]	[Pa]	[Pa]	[1]	[%]	[Pa·s]	[mN·m]	
1	600	0.0028571	57.142	20000	1	0.095237	0.052372	ME-,MV-,taD,TruStrain™
2	380	52.006	26.018	0.5	1	0.1532	0.053399	TruStrain™
3	240	69.864	44.842	0.642	1	0.34571	0.076242	TruStrain™
4	152	70.981	37.389	0.527	1	0.5281	0.073676	TruStrain™
5	96.1	66.819	30.803	0.461	1	0.76559	0.067562	TruStrain™
6	60.8	62.04	24.906	0.401	1.01	1.0996	0.061401	TruStrain™
7	38.5	57.792	20.066	0.347	1.01	1.5905	0.056187	TruStrain™
8	24.3	54.25	16.166	0.298	1.01	2.3263	0.051991	TruStrain™
9	15.4	51.304	13.168	0.257	1.01	3.4408	0.048647	TruStrain™
10	9.74	48.987	10.993	0.224	1.01	5.1552	0.04611	TruStrain™
11	6.16	47.183	9.5021	0.201	1.01	7.8121	0.044206	TruStrain™
12	3.9	45.518	8.5191	0.187	1	11.881	0.042529	TruStrain™
13	2.47	43.961	8.002	0.182	1.01	18.122	0.041039	TruStrain™
14	1.56	42.37	7.7224	0.182	1.01	27.609	0.039555	TruStrain™
15	0.987	40.85	7.5812	0.186	1.01	42.101	0.038159	TruStrain™
16	0.624	39.488	7.7484	0.196	1.01	64.456	0.036958	TruStrain™
17	0.395	38.255	8.0592	0.211	1.01	98.985	0.035906	WMa,TruStrain™
18	0.25	36.938	8.2135	0.222	1.01	151.44	0.034754	WMa,TruStrain™
19	0.158	35.568	8.6308	0.243	1.01	231.54	0.033615	WMa,TruStrain™
20	0.1	34.471	8.9306	0.259	1.01	356.09	0.032705	WMa,TruStrain™
